iter	RMSE
0	0.07151376297
1	0.06847165178
2	0.06481438817
3	0.06190623857
4	0.05763335203
5	0.05628497014
6	0.05211885028
7	0.05132802048
8	0.04972133017
9	0.04833127829
10	0.04541805877
11	0.04323700798
12	0.04143824574
13	0.04094480751
14	0.03896900403
15	0.03649070751
16	0.03422607057
17	0.03279211635
18	0.03052656075
19	0.02858543134
20	0.02670837035
21	0.02541934507
22	0.0233358221
23	0.02186096941
24	0.02148949402
25	0.02103546514
26	0.02081862478
27	0.02034922524
28	0.01863602639
29	0.01764262908
30	0.01668759626
31	0.0160421426
32	0.01560827461
33	0.01443212415
34	0.014205959
35	0.01375827767
36	0.01334187989
37	0.01241712226
38	0.01200569453
39	0.01115968203
40	0.01041093581
41	0.009676425526
42	0.009104986777
43	0.008853481194
44	0.008151409363
45	0.007787797677
46	0.007360431338
47	0.00700778658
48	0.006759479571
49	0.00665527129
50	0.006494907371
51	0.006166587082
52	0.005902710751
53	0.005646845392
54	0.00537437139
55	0.005134610827
56	0.00481901344
57	0.004609682805
58	0.004338765495
59	0.004167731253
60	0.004062151729
61	0.004002606516
62	0.003740855947
63	0.003531022605
64	0.00339929393
65	0.003268872232
66	0.003200382694
67	0.003003344308
68	0.002780818614
69	0.002564221314
70	0.00246421019
71	0.002322207376
72	0.002181193633
73	0.002040572748
74	0.001918983881
75	0.001826441315
76	0.001703519992
77	0.001589215562
78	0.001527691062
79	0.001494720982
80	0.001417575646
81	0.001351551364
82	0.00131442577
83	0.001251170136
84	0.001160909787
85	0.001066751383
86	0.001016284005
87	0.0009863653321
88	0.0009185697491
89	0.0008781024257
90	0.0008291039362
91	0.0008217727745
92	0.0007627849933
93	0.0007216722517
94	0.0006757965796
95	0.0006599498522
96	0.0006301204721
97	0.0006091805918
98	0.0005780928252
99	0.0005466242081
100	0.0005097478802
101	0.0004733296697
102	0.0004508095704
103	0.0004278888921
104	0.0003970265584
105	0.0003766104734
106	0.0003698618848
107	0.0003430321534
108	0.0003235453739
109	0.0003107199243
110	0.0002930948676
111	0.0002896187804
112	0.0002735196267
113	0.0002588973465
114	0.0002449953432
115	0.0002291787966
